,product_id,product_name,reviewer,rating,review_date,advantages,disadvantages,comment,purchase_state
6101,142199442,Емкость для сыпучих продуктов баночки c наклейками,Варвара,5,"19 февраля, 20:32","Хорошо,надёжно упаковано. Милейшие баночки,в хозяйстве всегда нужны",,"Спасибо большое,рекомендую к покупке!",Выкупили
5210,160599645,Весы напольные электронные с приложением для дома 180 кг,Неизвестно,5,"19 июня, 20:06","всё точно, батарейки в подарок",,,Выкупили
5950,142199442,Емкость для сыпучих продуктов баночки c наклейками,Покупатель Wildberries,5,"05 марта, 12:53","Пришло всё целое, хорошо упаковано. Хорошие баночки.",,,Выкупили
1739,183948489,Подарочный набор бокалов с надписью,Марина,5,"16 апреля, 13:22","Брала в подарок, коробочки целые. 👍",,,Выкупили
9038,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Андрей Чикатило,5,"24 июня, 16:34",все,-,"хороший продукт, новых высыпаний после него нету,(учитывая тот факт что у меня довольно чувствительная кожа лица) наносится легко, и хорошо очищает кожу от черных точек.
советую",Выкупили
3353,3932186,Мультибокс для овощерезки «Практика»,Марина,5,"19 декабря 2024, 04:03",,,👍🏻👍🏻👍🏻,Выкупили
4913,160599645,Весы напольные электронные с приложением для дома 180 кг,Владимир,5,"22 июня, 12:21",,,"Хорошие, функциональные весы, можно брать.",Выкупили
7762,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Юрий,5,"18 июня, 22:12",Супер,,,Выкупили
5896,142199442,Емкость для сыпучих продуктов баночки c наклейками,Ксения,4,"09 марта, 23:04",Удобные,"Некоторые крышки поцарапаны, количес",,Выкупили
7663,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Анастасия,5,"19 июня, 19:58",Понравился вкус,,,Выкупили
724,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Дилбар,5,"Сегодня, 20:27",Супер памперс очень хорошо держится,,,Выкупили
1614,183948489,Подарочный набор бокалов с надписью,Сергей,5,"15 мая, 18:02",Спасибо Большое пришло целое и не вридимое.,Всё так.,Спасибо Большое.,Выкупили
2769,3932186,Мультибокс для овощерезки «Практика»,Ирина,5,"20 марта, 07:45",Всё отлично!,,,Выкупили
2380,183948489,Подарочный набор бокалов с надписью,Покупатель Wildberries,4,"06 марта, 08:51",,"коробка замятая, забрала так как брала для себя. Бокалы классные спасибо.",,Выкупили
1355,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Анна,5,"19 июня, 21:07",,,"Очень понравились, аллергии нет, пользуемся с рождения, целую ночь могут выдержать",Выкупили
3128,3932186,Мультибокс для овощерезки «Практика»,Елена,5,"23 января, 19:29",Судок прекрасно подошел к овощерезке .,,,Выкупили
4030,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Елена,5,"19 мая, 22:37",Отличные пакеты,,,Выкупили
1732,183948489,Подарочный набор бокалов с надписью,Татьяна,5,"17 апреля, 15:00","Это просто песня, они такие красивые.",Нет,"Пришли вовремя.
Упаковано 👍 от отлично.
Все целое.
Бокалы огонь!!!!!!",Выкупили
4914,160599645,Весы напольные электронные с приложением для дома 180 кг,Алёна,5,"22 июня, 12:18","Всё супер, спасибо",,,Выкупили
2357,183948489,Подарочный набор бокалов с надписью,Лилия,5,"06 марта, 14:50",,надпись бледная,,Выкупили
3842,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Олеся,5,"29 мая, 19:11","Пакеты огромные,  помещается несколько пуховиков, очень понравились, отличные и удобные в использовании",,,Выкупили
2628,3932186,Мультибокс для овощерезки «Практика»,Виктория,5,"25 апреля, 21:45",,,Классная вещь на кухне,Выкупили
7324,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Светлана,5,"23 июня, 15:01",Все,,,Выкупили
311,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Алёна,5,"11 июня, 03:28",Пришли с опозданием,,На высоких сели отлично!,Выкупили
2714,3932186,Мультибокс для овощерезки «Практика»,Дмитрий,5,"30 марта, 21:08","Супер, как и 20 летняя",,,Выкупили
8161,10147914,Офисная базовая блузка,Алеся,5,"22 июня, 22:10",,,"большевато, перезаказ",Отказались
2856,3932186,Мультибокс для овощерезки «Практика»,Леонид,5,"05 марта, 00:12","Использую в основном для нарезки тыквы,очень удобно,слайсы получаются одной толщины,быстро,берегите руки,ножи очень острые.",,,Выкупили
2554,3932186,Мультибокс для овощерезки «Практика»,Елена,5,"14 мая, 16:23 • Дополнен",,,"Ещё и резать кубиками можно,если сделать надрезы",Выкупили
6906,135895113,Блузка боди с длинным рукавом,Ирада,5,"28 ноября 2023, 11:58",,,"Кофточка понравилась. Не сильно впритык, по качеству мягкая, из всех кофточек, что я заказала на вб, эта понравилась больше всего",
7810,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Гульжан,1,"18 июня, 15:21",Ничего,Бутылка полоса на,Просто ужас,
6730,135895113,Блузка боди с длинным рукавом,Василиса,5,"19 февраля 2024, 16:43",,,"Боди подчеркивает фигуру и выглядит стильно, прекрасно сочетается с и джинсами и с юбкой. Приятная по качеству.",
12245,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Наталья,1,"09 марта, 19:49",Пришли разбитые(,,,Отказались
9491,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Покупатель Wildberries,5,"16 июня, 20:17","Очень хорошо смывает макияж, рекомендую!",,,Выкупили
6076,142199442,Емкость для сыпучих продуктов баночки c наклейками,Карина,1,"21 февраля, 11:53",,,Вместо баночек пришли скрепки для бумаги,Отказались
4084,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Надежда,4,"16 мая, 17:33",,"Пришли не те пакеты, не с синей пипкой, а с белой. С синей лучше держат как по мне.",,Выкупили
429,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Покупатель Wildberries,5,"04 июня, 15:12","Ткань мягкая, джинсы хоть и плотные, но тянутся хорошо 👍.",,,Выкупили
2216,183948489,Подарочный набор бокалов с надписью,ольга,5,"09 марта, 13:19",Всё отлично спасибо продавцу рекомендую,,,Выкупили
4184,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Анна,4,"11 мая, 20:32",Первый раз заказала были не очень вторые вроде ничего держатся,,,Выкупили
7220,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Покупатель Wildberries,4,"Вчера, 15:58",Норм,,,Выкупили
11557,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Алёнка,5,"02 июня, 14:19",Отличные бокалы,,,Выкупили
10792,35778729,"Жиросжигатель для похудения капсулы, БАД",Мила,5,"Вчера, 17:06",Можно похудеть и без спорта,,"Принимаю пятый день, конечно рано говорить о результатах, но уже есть сдвиг в весе, аппетит и правда меньше",Выкупили
10261,35778729,"Жиросжигатель для похудения капсулы, БАД",Ксения,5,"22 июня, 19:46","Принимаю БАД две недели, хорошо снизился аппетит. Перестало постоянно тянуть на перекус и вечером спокойно засыпаю, без похода к холодильнику) Довольна, советую!",,,Выкупили
1513,183948489,Подарочный набор бокалов с надписью,Антонина,5,"03 июня, 22:50","Классные бокалы, брала на подарок, оригинально и недорого, товаром довольна",,,Выкупили
7662,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Люси,5,"19 июня, 20:01",,,,Выкупили
11420,35778729,"Жиросжигатель для похудения капсулы, БАД",Людмила,5,"22 июня, 09:14",,,"Орсофит мне идеально подошел. Принимаю по таблетке утром и в обед, как указано в инструкции. Весь день чувствую себя отлично, чувство голода подавляется. Стала больше пить воды. Побочных эффектов не заметила. Объемы уменьшились, на два размера. Закажу снова. Закончила первую баночку и не вставала на весы, но видела по себе, что результат есть. В итоге за курс похудела на 3,2 кг. Объемы заметно ушли, отеков по утрам больше нет. Раньше были проблемы с метаболизмом, теперь все наладилось. И самое главное — сон. Стала высыпаться, сон крепкий, что очень радует. Сделаю перерыв, посмотрю, как организм справится без жж, потом повторю курс для закрепления результата.",Выкупили
1358,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Разиля,5,"19 июня, 19:48","Хорошие, мягкие подгузники, беру не в первый раз уже",,,Выкупили
10415,35778729,"Жиросжигатель для похудения капсулы, БАД",Алена,5,"22 июня, 11:38",,,"Итак, прошёл месяц, даже чуть больше, месяц приёма и неделя после. И я могу уже с уверенностью написать свой отзыв. таблетки реально работают. С первой же таблетки я почувствовала, что постоянный жрач отступил. Первые два дня прям кайф был. В какой-то момент даже стало тошнить от сладкого. И я услышала себя. Итог:первые две недели на весах -3. Я пошла в зал на дорожку- 2-3раза сходила в бассейн. Спустя ещё 2 недели мой вес уменьшился на -2,2кг🤭. Качество тела улучшилось, кожа прекрасная, энергии много. Я раньше 50м проплывала с трудом, сейчас 200м отлично. Сплю лучше, чувствую себя много бодрее.Работает.🔥",Выкупили
1350,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Людмила Волошина Григорьевна,5,"19 июня, 22:23",Супер,,,Выкупили
1498,183948489,Подарочный набор бокалов с надписью,Владимир,5,"05 июня, 15:53",Отлично,,,Выкупили
3379,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Сергей,5,"Сегодня, 14:56",,,"пакеты отличные, прочные и держат вакуум, поэтому рекомендую к покупке",Выкупили
11615,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Виктория,5,"24 мая, 11:57",,,"Бокалы пришли целые , покупала на подарок",Выкупили
8786,28923876,Блузка базовая,Александра,4,"28 мая, 10:08",За такие деньги пойдёт,Ткань неприятная и не совсем прямая к низу чуть заужена. Цвет прям под цвет кожи.,,Выкупили
12397,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Виктория,5,"06 марта, 14:43","Бокалы просто супер, на подарок просто огонь. Спасибо производителю за качество товара!!!",,,Выкупили
8131,10147914,Офисная базовая блузка,Светлана,3,"23 июня, 18:44",Ткань ужасная... Как капрон какой-то... Жуть!,,,Отказались
9520,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Алина,5,"16 июня, 12:21",Довольна покупкой!,,"Первый раз попробовала масло от Миксит с опаской, что комедоны могут появится, так как кожа склонна к ним и к высыпаниям! Пользуюсь месяц- в восторге, как и от всей косметики Миксит! Запах приятный, хорошо очищает кожу, не жирнит! Ни высыпаний, ни комедонов нет! Со своей задачей справляется! Буду пользоваться и дальше заказывать. Моя кожа благодарна Миксит ❤",Выкупили
7624,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Покупатель Wildberries,5,"20 июня, 12:58","Вкус обалденный, пришла целая, очень понравилось",Минусов нет,,Выкупили
218,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Татьяна,5,"16 июня, 08:36","Покрой, материал, качество",Оттенок материала,,Отказались
5350,142199442,Емкость для сыпучих продуктов баночки c наклейками,Маша,3,"19 мая, 16:25","Ужас, вместо 12 банок пришло 11, в банках фантики  из под конфет.",,,Выкупили
11461,35778729,"Жиросжигатель для похудения капсулы, БАД",Светлана,5,"22 июня, 05:07",,,"Купила жиросжигатель в таблетках и безумно этому рада. Я уже давно искала эффективное средство, чтобы избавиться от лишнего веса. Орсафит решила попробовать по совету подруги. С самого начала заметила положительные изменения. Таблетки помогли мне снизить аппетит и контролировать перекусы, как раз это и было моей главной проблемой. Больше никакого постоянного желания есть. Кроме того, ускорился мой обмен веществ и повысился уровень энергии. Спустя несколько недель использования, я заметила значительное снижение веса. Моя фигура стала более подтянутой и я почувствовала себя более уверенной и комфортной в своем теле. Я очень довольна результатами. Таблетки действительно работают и помогли мне достичь моих целей. Я рекомендую их всем, кто хочет эффективно и безопасно сбросить лишний вес.",Выкупили
2340,183948489,Подарочный набор бокалов с надписью,Покупатель Wildberries,5,"06 марта, 19:52",Креативно,,,Выкупили
4096,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Луиза,5,"16 мая, 00:03",Отличные,,,Выкупили
8136,10147914,Офисная базовая блузка,Ирина,4,"23 июня, 15:39","Летняя, стандартная",Цвет совсем не голубой,,Отказались
6032,142199442,Емкость для сыпучих продуктов баночки c наклейками,Светлана,5,"25 февраля, 13:35",Все,,Отличные баночки.,Выкупили
1491,183948489,Подарочный набор бокалов с надписью,Ольга,5,"08 июня, 08:34",Шикарные,,,Выкупили
10439,35778729,"Жиросжигатель для похудения капсулы, БАД",Нина,5,"22 июня, 10:39",,,"Я строго следовала по приему таблеток, это было легче, чем мне показалось на первый взгляд. Я была настроена на успех и не собиралась сдаваться. И вот, по окончании курса, я с радостью обнаружила, что мой вес уменьшился на 3,5 кг. Это действительно значительное достижение для меня, и я счастлива, что решилась попробовать этот жиросжигатель. Спорт зал не посещала, засчет уменьшения аппетита и объемы порций, достигла такого результата. Всем рекомендую проявлять настойчивость и верить в свои цели. Спасибо продавцу.",Выкупили
9988,35778729,"Жиросжигатель для похудения капсулы, БАД",Евгения,5,"23 июня, 18:39",,,"Весы показывать меньше на 3 кг уже на третьей неделе, и чувствую себя великолепно.",Выкупили
2301,183948489,Подарочный набор бокалов с надписью,Покупатель Wildberries,5,"07 марта, 14:11","Все пришло в идеальном состоянии. Шикарное исполнение гравировки, упаковка на совесть. Спасибо продавцу",,,Выкупили
10162,35778729,"Жиросжигатель для похудения капсулы, БАД",Маргарита,5,"23 июня, 08:56",,,"Мой самый любимый жиросжигатель. Пробовала продукцию других брендов, но это не то. Капсулы Orsofit действительно подавляют аппетит. Уже не первый раз покупаю эту продукцию. Порции еды стали примерно в два раза меньше, и я чувствую себя сытым. Постоянного чувства голода нет. Даже когда не принимаю капсулы, эффект сохраняется. Пью их периодически для профилактики. Пока принимаю, вес стабильно уменьшается на 3 кг за курс, а между курсами аппетит остается на низком уровне, и вес не увеличивается. Никогда не поднимался выше. Рекомендую всем, у кого сидячая работа и кто хочет контролировать вес",Выкупили
6220,135895113,Блузка боди с длинным рукавом,Татьяна Ev,5,"12 мая, 21:04",Отличное боди!,Не угадала с размером,,Отказались
2270,183948489,Подарочный набор бокалов с надписью,Евгения,4,"08 марта, 08:23","Заказала ""апрель"" пришёл,  февраль... соответственно отказ,  надеюсь в следующий раз придёт, то заказала",,,Отказались
4375,160599645,Весы напольные электронные с приложением для дома 180 кг,Анастасия,5,"Сегодня, 19:10","Работают уже год , показывают точно.",,,Выкупили
11860,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Зоя,5,"04 апреля, 10:36 • Дополнен",,,"Купила подруге в подарок, очень довольна, да ещё с юмором - сразу пустили в работу, так как было 8 марта. Рекомендую, да ещё и с юмором!",Выкупили
1516,183948489,Подарочный набор бокалов с надписью,Алена,5,"02 июня, 17:45",Шикарные бокалы! Пришли целые.,,,Выкупили
9311,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Анна,5,"19 июня, 21:26","Отлично смывает макияж, как и  заявлено, не щиплет глаза, не раздражает кожу",,,Выкупили
2459,3932186,Мультибокс для овощерезки «Практика»,Дмитрий,5,"07 июня, 19:23",Отличная овощерека ножки действительно супер острые салат соломкой режет за пять минут,,,Выкупили
3000,3932186,Мультибокс для овощерезки «Практика»,Светлана,5,"11 февраля, 20:16",Всё понравилось,,Мечтала об такой,Выкупили
11058,35778729,"Жиросжигатель для похудения капсулы, БАД",Ольга,5,"23 июня, 13:21",Все круто! Товар на фото!,,,Выкупили
4341,160599645,Весы напольные электронные с приложением для дома 180 кг,Виктория,5,"Сегодня, 22:09","Хорошие весы, чётко видно цифры, лёгкие и не занимают много места, батарейки в наборе",Минусов нет,,Выкупили
2036,183948489,Подарочный набор бокалов с надписью,Яна,2,"16 марта, 09:37","Бокалы красивые, НО пришел со сломанной ножкой. Упаковка вообще никакая и неудивительно, что разбитая.
Заказывала на подарки, пришлось срочно другой подарок искать... 

В этот же день забирала ещё один подобный набор, так вот в нем был каждый бокал упакован в пупырку и бумагу, был целый.",,,Отказались
200,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Ирина,3,"16 июня, 17:57",,Короткие,"Очень расстроилась! Давно ищу не короткие джинсы, в карточке товара указано что рост модели 178 см, значит я со своим 170 см будут длинные см на 8 ниже щиколотки как я и хочу. А не тут-то было! У модели 178 по щиколотку и мне 170 тоже по щиколотку! Так что ориентируйтесь размер 30 для тех кто выше 170 будут вообще коротыши !",Отказались
12091,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Жанна,5,"15 марта, 17:26","Качество, оригинальность, большой размер бокалов- шикарный эффект. Оформление коробки-супер, особенно на обороте, для личного пожелания от руки. И, в самое сердечко, это открыточка в коробке💘","Я заказывала 3 комплекта, один попался идеальный (его я приобрела), у второго комплекта у одного бокала в одном месте были неровные края(при производстве изъян) , в третьем варианте несколько букв на одном бокале чуть смазаны при гравировке.",Я довольна! Спасибо!,Выкупили
9370,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Татьяна,2,"18 июня, 21:44",Приятный запах.,Плохо смывает тушь для ресниц. Неэкономичный расход.,Повторять не буду.,Выкупили
624,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Грета,5,"28 мая, 11:54",Ношу с удовольствием,,,Выкупили
3851,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Гульназ Ситдикова,5,"29 мая, 11:51",,,"Все отлично. Пакеты прочные, большие, соответствуют описанию! Спасибо!",Выкупили
5328,142199442,Емкость для сыпучих продуктов баночки c наклейками,Наталья,5,"23 мая, 15:41","Очень удобные баночки, плотно закрываются… хорошо наклеивать наклейки с надписью.., заказываю уже не в первый раз… использую для приправ, варенья и других заготовок",,Рекомендую,Выкупили
3349,3932186,Мультибокс для овощерезки «Практика»,татьяна,5,"19 декабря 2024, 18:13","Работаем ей  ежедневно, уже пять месяцев. Состояние идеальное, ножи острые. Ничем не хуже бернера, а цена на порядок ниже.",,,Выкупили
8612,28923876,Блузка базовая,Покупатель Wildberries,3,"06 июня, 18:43","Блузка легкая, ткань синтетика, но приятная к телу, летом будет не жарко. Размеры соответствуют. В этом плане рекомендую.","Но, купила 3 штуки, ни одна не соответствует цвету как на фото. Последнюю ожидала, что цвет будет светлым беж, а пришла ближе к персиковому. Но цвета красивые, поэтому все блузки выкупила. Хотелось бы, чтоб цвета соответствовали фотографиям в карточке. Поэтому убрала 2 звезды.",,Выкупили
1351,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Гузель,5,"19 июня, 22:16",Ночь выдерживает,,"Заказываю периодически, очень нравятся, не протекают, аллергии у малыша нет, цена устраивает. Однозначно буду брать ещё и вам советую☺️",Выкупили
11078,35778729,"Жиросжигатель для похудения капсулы, БАД",Полина,5,"23 июня, 12:14",,,"Есть ли вы не фанат спорта, то не надейтесь скинуть вес только за счет тренировок. Это нереалистичная и невыполнимая задача. Лучше тренироваться пару раз в неделю, и просто прогуляться перед сном, а для снижения веса рекомендую использовать эти таблетки. Они сжигают калории, помогают поднять настроение и тонус, да, и самооценку. А активности с ними хватит любой. Продавец даёт нам отличный инструмент, спасибо ему за честность и понимание.",Выкупили
